high_by_point_n,low_by_point_n,high_by_point_n_on_trend,low_by_point_n_on_trend,high_by_point_m,low_by_point_m,high_by_point_m_on_trend,low_by_point_m_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
7,9,8,9,7,9,8,9,4.56,564.34,9.9,57
7,9,8,10,7,9,8,10,5.01,572.73,10.61,54
7,9,9,4,7,9,9,4,3.86,565.02,8.19,69
7,9,9,5,7,9,9,5,3.79,487.37,8.26,59
7,9,9,6,7,9,9,6,3.68,543.02,8.35,65
7,9,9,7,7,9,9,7,4.61,571.79,9.69,59
7,9,9,8,7,9,9,8,4.11,546.83,9.11,60
7,9,9,9,7,9,9,9,4.56,564.34,9.9,57
7,9,9,10,7,9,9,10,5.01,572.73,10.61,54
7,9,10,4,7,9,10,4,3.86,565.02,8.19,69
7,9,10,5,7,9,10,5,3.79,487.37,8.26,59
7,9,10,6,7,9,10,6,3.68,543.02,8.35,65
7,9,10,7,7,9,10,7,4.61,571.79,9.69,59
7,9,10,8,7,9,10,8,4.11,546.83,9.11,60
7,9,10,9,7,9,10,9,4.56,564.34,9.9,57
7,9,10,10,7,9,10,10,5.01,572.73,10.61,54
7,10,4,4,7,10,4,4,3.42,540.95,7.41,73
7,10,4,5,7,10,4,5,3.38,485.85,7.47,65
7,10,4,6,7,10,4,6,3.07,504.14,7.1,71
7,10,4,7,7,10,4,7,3.68,532.91,8.2,65
7,10,4,8,7,10,4,8,3.71,529.34,8.4,63
7,10,4,9,7,10,4,9,3.64,525.46,8.34,63
7,10,4,10,7,10,4,10,3.99,537.43,9.11,59
7,10,5,4,7,10,5,4,3.8,558.42,8.21,68
7,10,5,5,7,10,5,5,3.8,503.33,8.39,60
7,10,5,6,7,10,5,6,3.56,532.84,8.2,65
7,10,5,7,7,10,5,7,4.43,561.61,9.52,59
7,10,5,8,7,10,5,8,3.96,536.65,8.94,60
7,10,5,9,7,10,5,9,4.39,554.16,9.72,57
7,10,5,10,7,10,5,10,4.92,566.13,10.68,53
7,10,6,4,7,10,6,4,3.8,558.42,8.21,68
7,10,6,5,7,10,6,5,3.8,503.33,8.39,60
7,10,6,6,7,10,6,6,3.56,532.84,8.2,65
7,10,6,7,7,10,6,7,4.43,561.61,9.52,59
7,10,6,8,7,10,6,8,3.96,536.65,8.94,60
7,10,6,9,7,10,6,9,4.39,554.16,9.72,57
7,10,6,10,7,10,6,10,4.92,566.13,10.68,53
7,10,7,4,7,10,7,4,4.07,571.5,8.66,66
7,10,7,5,7,10,7,5,4.1,516.4,8.9,58
7,10,7,6,7,10,7,6,3.8,545.91,8.67,63
7,10,7,7,7,10,7,7,4.82,574.68,10.08,57
7,10,7,8,7,10,7,8,4.27,549.72,9.48,58
7,10,7,9,7,10,7,9,4.77,567.23,10.31,55
7,10,7,10,7,10,7,10,5.41,579.21,11.36,51
7,10,8,4,7,10,8,4,4.07,571.5,8.66,66
7,10,8,5,7,10,8,5,3.94,490.26,8.6,57
7,10,8,6,7,10,8,6,3.8,545.91,8.67,63
7,10,8,7,7,10,8,7,4.82,574.68,10.08,57
7,10,8,8,7,10,8,8,4.27,549.72,9.48,58
7,10,8,9,7,10,8,9,4.77,567.23,10.31,55
7,10,8,10,7,10,8,10,5.41,579.21,11.36,51
7,10,9,4,7,10,9,4,4.07,571.5,8.66,66
7,10,9,5,7,10,9,5,3.94,490.26,8.6,57
7,10,9,6,7,10,9,6,3.8,545.91,8.67,63
