datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl
05/08/2024 10:00,62312.07,63020.22,60888,61193.03,26121.19004,0,,,,,2.057023334,0,-1,-1,-1,0,100,80.5,42.89276243,42.89276243,0
05/09/2024 10:00,61193.03,63429.03,60630,63074.01,30660.8061,0,,56552.82,,,2.061945304,0,1,-1,-1,3,98,74.5,48.54501491,42.89276243,0
05/10/2024 10:00,63074,63469.13,60187.12,60799.99,36529.34025,0,,,,,2.075932717,0,-1,-1,1,5,100,89.5,43.00349454,42.89276243,0
05/11/2024 10:00,60799.99,61515,60487.09,60825.99,13374.56936,0,,,65500,,2.042654256,0,-1,-1,-1,0,99.5,85,43.08349385,43.00349454,0
05/12/2024 10:00,60825.99,61888,60610,61483.99,12753.13236,0,,,,,2.029975114,0,-1,-1,-1,0,87.5,73.5,45.18054951,43.00349454,0
05/13/2024 10:00,61484,63450,60749.21,62940.08,32733.41839,0,,,,,2.026933605,0,1,-1,-1,7,84.5,37.5,49.60543873,43.08349385,0
05/14/2024 10:00,62940.09,63118.36,61142.77,61577.49,29088.72041,0,,,,60187.12,2.033783086,0,-1,-1,1,7,98,77,45.87384362,45.18054951,0
05/15/2024 10:00,61577.49,66444.16,61319.47,66206.5,43559.74719,0,,,,,2.040806309,0,-1,-1,-1,0,80.5,11,57.55528528,45.87384362,0
05/16/2024 10:00,66206.51,66752.01,64602.77,65235.21,31106.3671,0,,,,,2.075605205,0,-1,-1,-1,0,86,18,54.87894993,45.87384362,0
05/17/2024 10:00,65235.21,67451.2,65106.38,67024,26292.23409,0,,,,,2.076413561,0,-1,-1,-1,0,81.5,11.5,58.68888328,54.87894993,0
05/18/2024 10:00,67024,67400.01,66600,66915.2,14441.25774,0,,,,,2.089382979,0,-1,-1,-1,0,90.5,21,58.36606892,54.87894993,0
05/19/2024 10:00,66915.2,67700,65857.25,66274.01,18025.30409,0,,,,,2.087800991,0,-1,-1,-1,0,82.5,17.5,56.39728644,56.39728644,0
05/20/2024 10:00,66274,71515.56,66060.31,71446.62,50816.7011,0,,,,,2.081309359,1,-1,-1,-1,0,70.5,14.5,66.27923149,56.39728644,0
05/21/2024 10:00,71446.62,71979,69162.94,70148.34,49607.4336,0,,,,,2.113560481,1,-1,-1,-1,0,72.5,18,62.45337941,56.39728644,0
05/22/2024 10:00,70148.34,70666,68842.19,69166.62,27673.18026,0,,,,,2.119429205,1,-1,-1,-1,0,68,39,59.64948679,59.64948679,0
05/23/2024 10:00,69166.62,70096.12,66312.16,67969.65,40513.17374,0,,,,,2.121453707,1,-1,-1,-1,0,66.5,49,56.32888426,56.32888426,0
05/24/2024 10:00,67969.66,69250,66600.12,68549.99,28095.83664,0,,,,,2.129390777,0,1,-1,-1,3,67.5,38.5,57.56240062,56.32888426,0
05/25/2024 10:00,68549.99,69610,68500,69290.57,12130.39418,0,,,,,2.13317134,0,-1,-1,1,3,63.5,81.5,59.1481569,56.32888426,0
05/26/2024 10:00,69290.56,69562.23,68128.01,68507.67,11872.11797,0,,,71979,,2.133536438,0,-1,-1,-1,0,65,76,56.73462621,56.73462621,0
05/27/2024 10:00,68507.67,70687.56,68250,69436.43,23136.92737,0,,,,,2.135999316,0,-1,-1,-1,0,58,53.5,58.87832751,56.73462621,0
05/28/2024 10:00,69436.43,69591.81,67277.91,68398.39,32622.97042,0,,,,,2.127670761,0,-1,-1,-1,0,64,52.5,55.56459654,55.56459654,0
05/29/2024 10:00,68398.4,68935.68,67124.65,67652.42,23159.83149,0,,,,,2.126964011,0,-1,-1,-1,0,66,71.5,53.24540882,53.24540882,0
05/30/2024 10:00,67652.41,69500,67128,68352.17,28478.2184,0,,,,,2.130116567,0,1,-1,-1,3,67,72,55.13702089,53.24540882,0
05/31/2024 10:00,68352.17,69044.1,66670,67540.01,26690.32184,0,71979,,,,2.134401203,0,-1,-1,1,5,67.5,72,52.48296801,52.48296801,0
06/01/2024 10:00,67540.01,67900,67428.44,67766.85,8837.66133,0,,,70687.56,,2.132231933,0,-1,-1,-1,0,69.5,77,53.16113302,52.48296801,0
06/02/2024 10:00,67766.84,68460,67257.47,67765.63,15426.32529,0,,,,,2.121408947,0,1,-1,-1,5,68,66.5,53.15673893,52.48296801,0
06/03/2024 10:00,67765.62,70288,67612.48,68809.9,29633.374,0,,,,,2.088971636,0,-1,-1,1,5,62.5,45.5,56.47316128,53.15673893,0
06/04/2024 10:00,68809.89,71063.45,68567.32,70537.84,29619.78489,0,,,,66670,2.074294575,0,-1,-1,-1,0,59,37.5,61.34934549,53.15673893,0
06/05/2024 10:00,70537.83,71758,70383.66,71108,28703.18082,0,,,,,2.080623062,0,-1,-1,-1,0,58,27.5,62.82906446,56.47316128,0
06/06/2024 10:00,71108,71700,70117.64,70799.06,21842.00449,0,,,,,2.084038863,0,-1,-1,-1,0,58,32,61.4561304,61.34934549,0
06/07/2024 10:00,70799.06,71997.02,68420,69355.6,35598.45045,0,,,,,2.075385363,0,-1,-1,-1,0,58.5,42.5,55.36826179,55.36826179,0
06/08/2024 10:00,69355.6,69582.2,69168.02,69310.46,9773.82967,0,,,,,2.084389378,0,-1,-1,-1,0,60,52.5,55.18416086,55.18416086,0
06/09/2024 10:00,69310.46,69857.14,69130.24,69648.14,9890.56709,0,,,,,2.061921937,0,-1,-1,-1,0,50,70,56.35332302,55.18416086,0
06/10/2024 10:00,69648.15,70195.94,69172.29,69540,17122.66941,0,,,,,2.041042137,0,1,-1,-1,3,40.5,75.5,55.85082022,55.18416086,0
06/11/2024 10:00,69540,69590.01,66051,67314.24,41436.01588,0,,,,,2.040293942,0,-1,-1,-1,0,52,87.5,46.63369601,46.63369601,0
06/12/2024 10:00,67314.23,69999,66905,68263.99,37175.32356,0,,,71997.02,,2.050676022,1,-1,-1,-1,0,60,71.5,50.39555194,46.63369601,0
06/13/2024 10:00,68263.98,68449.3,66251.78,66773.01,29079.55571,0,,,,,2.056841021,1,-1,-1,-1,0,66,83.5,45.02922968,45.02922968,0
06/14/2024 10:00,66773.01,67370.24,65078,66043.99,28408.18797,0,,,,,2.063351521,1,-1,-1,-1,0,67,90,42.63845675,42.63845675,0
06/15/2024 10:00,66043.99,66478.48,65857.1,66228.25,11451.80242,0,,,,,2.066076898,1,-1,-1,-1,0,64.5,86.5,43.45562137,42.63845675,0
06/16/2024 10:00,66228.25,66998.7,66034.5,66676.87,9392.52223,0,,,,,2.059736535,1,1,-1,-1,6,61,65,45.49165059,42.63845675,0
06/17/2024 10:00,66676.86,67298.81,65130,66504.33,27386.16851,0,71997.02,,,,2.062650547,1,-1,-1,1,6,58,77,44.82316366,43.45562137,0
06/18/2024 10:00,66504.33,66588.23,64060,65175.32,42350.10244,0,,,,,2.062218322,0,-1,-1,-1,0,66.5,74,39.95309789,39.95309789,0
06/19/2024 10:00,65175.32,65727.54,64666,64974.37,20060.79576,0,,,,,2.059505305,0,-1,-1,-1,0,61.5,69.5,39.25853613,39.25853613,0
06/20/2024 10:00,64974.37,66482.94,64559.15,64869.99,24265.29031,0,,,,,2.051122149,0,1,-1,-1,3,61.5,71.5,38.88043715,38.88043715,0
06/21/2024 10:00,64869.99,65066.66,63379.35,64143.56,25993.56442,0,,,,,2.045310619,0,-1,-1,1,3,65.5,84,36.26288735,36.26288735,0
06/22/2024 10:00,64143.56,64546.81,63943.82,64262.01,7308.95542,0,,,,,2.025656728,0,-1,-1,-1,0,68.5,80.5,37.00758172,36.26288735,0
06/23/2024 10:00,64262.01,64521,63178.32,63210.01,8224.45447,0,,,,,2.00178646,0,-1,-1,-1,0,67,78,33.28765606,33.28765606,0
06/24/2024 10:00,63210.01,63369.8,58402,60293.3,52161.35414,0,,,,,2.006447687,0,-1,-1,-1,0,93.5,93,25.60337876,25.60337876,0
06/25/2024 10:00,60293.3,62420,60257.06,61806.01,31189.24361,0,,,,,2.023926035,0,-1,-1,-1,0,83,85.5,34.10010536,25.60337876,0
06/26/2024 10:00,61806.01,62487.81,60712,60864.99,22485.66463,0,,,,,2.026096411,0,-1,-1,-1,0,94.5,89,31.67649183,25.60337876,0
06/27/2024 10:00,60864.98,62389.22,60606.63,61706.47,18344.28631,0,,,,,2.028531608,0,-1,-1,-1,0,91.5,82.5,36.0532802,31.67649183,0
06/28/2024 10:00,61706.46,62225.31,60063,60427.84,24821.19255,0,,,,58402,2.03457602,0,-1,-1,-1,0,92.5,85,32.63252608,31.67649183,0
06/29/2024 10:00,60427.84,61224,60383.77,60986.68,11509.55904,0,,,,,2.01597864,0,-1,-1,-1,0,99.5,43,35.51244501,32.63252608,0
06/30/2024 10:00,60986.68,63058.76,60712.21,62772.01,17326.30136,0,,,,,2.017706058,0,-1,-1,-1,0,97.5,42.5,43.78098672,32.63252608,0
07/01/2024 10:00,62772.01,63861.76,62497.2,62899.99,24547.10538,0,,,,,2.01575404,0,-1,-1,-1,0,94,32.5,44.33200609,35.51244501,0
07/02/2024 10:00,62900,63288.83,61806.28,62135.47,18573.11875,0,,58402,,,2.014986256,0,-1,-1,-1,0,91.5,47,41.70248299,41.70248299,0
