No.,Entry Time,First Exit Time,Second Exit Time,Weighted PnL%,Combined Score,Signal Type,Static High Used,Static Low Used,"High (m,n)","Low (m,n)"
43,2025-05-06 10:00:00,2025-05-08 10:00:00,2025-09-03 08:00:00,14.183,0.1573,Normal,True,False,"(4.00, 4.00)","(7.40, 7.40)"
44,2025-05-26 10:00:00,2025-05-29 10:00:00,,-4.6695,0.1645,Trending,False,True,"(7.71, 7.71)","(4.00, 4.00)"
45,2025-06-07 08:00:00,2025-06-09 08:00:00,2025-06-22 08:00:00,-2.0299,0.0963,Trending,True,False,"(4.00, 4.00)","(4.40, 4.40)"
46,2025-06-13 08:00:00,2025-06-21 08:00:00,,-4.3865,0.0894,Trending,True,False,"(4.00, 4.00)","(4.00, 4.00)"
47,2025-06-23 08:00:00,2025-07-02 08:00:00,2025-10-21 08:00:00,9.4687,0.111,Normal,True,False,"(4.00, 4.00)","(5.20, 5.20)"
48,2025-07-02 08:00:00,2025-07-10 08:00:00,2025-10-30 08:00:00,7.7097,0.0981,Trending,False,True,"(4.50, 4.50)","(4.00, 4.00)"
49,2025-08-03 08:00:00,2025-08-09 08:00:00,2025-08-25 08:00:00,4.3686,0.2656,Trending,True,False,"(4.00, 4.00)","(11.60, 11.60)"
50,2025-08-06 08:00:00,2025-08-10 08:00:00,2025-08-21 08:00:00,4.1228,0.2656,Trending,True,False,"(4.00, 4.00)","(11.60, 11.60)"
51,2025-08-22 08:00:00,2025-08-25 08:00:00,,-8.9353,0.2656,Normal,True,False,"(4.00, 4.00)","(11.60, 11.60)"
52,2025-08-24 08:00:00,2025-08-25 08:00:00,,-4.9911,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
53,2025-08-27 08:00:00,2025-08-29 08:00:00,,-4.3429,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
54,2025-09-02 08:00:00,2025-09-11 08:00:00,2025-10-17 08:00:00,6.2808,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
55,2025-09-10 08:00:00,2025-09-18 08:00:00,2025-09-25 08:00:00,-3.1589,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
56,2025-09-24 08:00:00,2025-09-25 08:00:00,,-6.3755,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
57,2025-09-28 08:00:00,2025-10-01 08:00:00,2025-10-16 08:00:00,5.704,0.3376,Normal,True,False,"(4.00, 4.00)","(14.00, 14.00)"
58,2025-10-17 08:00:00,2025-10-19 08:00:00,2025-11-04 08:00:00,3.5319,0.1303,Normal,True,False,"(4.00, 4.00)","(6.17, 6.17)"
59,2025-10-19 08:00:00,2025-10-20 08:00:00,2025-11-04 08:00:00,3.3183,0.2058,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
60,2025-10-23 08:00:00,2025-10-26 08:00:00,2025-11-03 08:00:00,2.9026,0.2058,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
61,2025-10-30 08:00:00,2025-10-31 08:00:00,2025-11-04 08:00:00,-4.7079,0.2058,Normal,True,False,"(4.00, 4.00)","(9.40, 9.40)"
62,2025-11-04 08:00:00,2025-11-05 08:00:00,2025-11-14 08:00:00,4.3234,0.5447,Normal,True,False,"(4.00, 4.00)","(25.17, 25.17)"
63,2025-11-05 08:00:00,2025-11-10 08:00:00,2025-11-14 08:00:00,-9.2631,0.4121,Normal,True,False,"(4.00, 4.00)","(16.29, 16.29)"
64,2025-11-08 08:00:00,2025-11-09 08:00:00,2025-11-14 08:00:00,3.4508,0.4121,Normal,True,False,"(4.00, 4.00)","(16.29, 16.29)"
65,2025-11-13 08:00:00,2025-11-14 08:00:00,,-10.6849,0.5447,Normal,True,False,"(4.00, 4.00)","(25.17, 25.17)"
66,2025-11-18 08:00:00,2025-11-20 08:00:00,,-13.524,0.4941,Normal,False,True,"(18.62, 18.62)","(4.00, 4.00)"
