high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,14,7,4,7,1.3,0.01,FALSE,3.49,540.09,7.3,74,60.81,16.81,-7.47
4,4,4,4,14,7,4,14,1.1,0.01,FALSE,2.95,577,7.04,82,58.54,18.18,-8.7
4,4,4,4,14,7,4,14,1.3,0.01,FALSE,2.94,541.05,6.6,82,58.54,17.08,-8.19
4,4,4,4,14,7,7,4,1.1,0.01,FALSE,3.03,446.15,6.56,68,55.88,17.52,-7.32
4,4,4,4,14,7,7,4,1.3,0.01,FALSE,3.03,416.44,6.12,68,55.88,16.36,-6.84
4,4,4,4,14,7,7,7,1.1,0.01,FALSE,3.37,430.85,7.69,56,58.93,18.56,-7.9
4,4,4,4,14,7,7,7,1.3,0.01,FALSE,3.37,402.25,7.18,56,58.93,17.33,-7.38
4,4,4,4,14,7,7,14,1.1,0.01,FALSE,3.8,489.64,8.74,56,62.5,18.99,-8.33
4,4,4,4,14,7,7,14,1.3,0.01,FALSE,3.79,458.5,8.19,56,62.5,17.8,-7.83
4,4,4,4,14,7,14,4,1.1,0.01,FALSE,3.15,470.36,7.71,61,59.02,19.14,-8.75
4,4,4,4,14,7,14,4,1.3,0.01,FALSE,3.14,440.59,7.22,61,59.02,17.97,-8.25
4,4,4,4,14,7,14,7,1.1,0.01,FALSE,2.78,441.33,7.23,61,55.74,20.26,-9.17
4,4,4,4,14,7,14,7,1.3,0.01,FALSE,2.78,413.75,6.78,61,55.74,19.01,-8.61
4,4,4,4,14,7,14,14,1.1,0.01,FALSE,3.74,479.57,9.79,49,61.22,21.81,-9.2
4,4,4,4,14,7,14,14,1.3,0.01,FALSE,3.73,451.67,9.22,49,61.22,20.57,-8.7
4,4,4,4,14,14,4,4,1.1,0.01,FALSE,4.04,464.61,10.32,45,55.56,24.7,-7.65
4,4,4,4,14,14,4,4,1.3,0.01,FALSE,4.05,436.69,9.7,45,55.56,23.19,-7.15
4,4,4,4,14,14,4,7,1.1,0.01,FALSE,4.56,645.2,9.78,66,65.15,19.22,-7.89
4,4,4,4,14,14,4,7,1.3,0.01,FALSE,4.56,606.23,9.19,66,65.15,18.06,-7.4
4,4,4,4,14,14,4,14,1.1,0.01,FALSE,3.49,553.14,8.78,63,60.32,20.41,-8.89
4,4,4,4,14,14,4,14,1.3,0.01,FALSE,3.48,520.41,8.26,63,60.32,19.22,-8.4
4,4,4,4,14,14,7,4,1.1,0.01,FALSE,3.94,466.1,8.63,54,59.26,19.51,-7.2
4,4,4,4,14,14,7,4,1.3,0.01,FALSE,3.95,437.76,8.11,54,59.26,18.32,-6.74
4,4,4,4,14,14,7,7,1.1,0.01,FALSE,5.54,492.79,12.64,39,61.54,25.06,-7.24
4,4,4,4,14,14,7,7,1.3,0.01,FALSE,5.57,462.87,11.87,39,61.54,23.51,-6.76
