high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,10,4,4,10,10,10,1.3,0.01,False,3.18,204.47,4.99,41,51.22,14.2,-4.69
4,4,10,4,10,4,4,4,1,0.01,False,4.54,401.75,6.28,64,64.06,12.57,-4.93
4,4,10,4,10,4,4,4,1.1,0.01,False,4.54,401.75,6.28,64,64.06,12.57,-4.93
4,4,10,4,10,4,4,4,1.2,0.01,False,4.54,401.75,6.28,64,64.06,12.57,-4.93
4,4,10,4,10,4,4,4,1.3,0.01,False,4.54,401.75,6.28,64,64.06,12.57,-4.93
4,4,10,4,10,4,4,10,1,0.01,False,5.34,466.99,6.67,70,67.14,12.23,-4.68
4,4,10,4,10,4,4,10,1.1,0.01,False,5.34,466.99,6.67,70,67.14,12.23,-4.68
4,4,10,4,10,4,4,10,1.2,0.01,False,5.34,466.99,6.67,70,67.14,12.23,-4.68
4,4,10,4,10,4,4,10,1.3,0.01,False,5.34,466.99,6.67,70,67.14,12.23,-4.68
4,4,10,4,10,4,10,4,1,0.01,False,5.13,454.87,6.69,68,64.71,12.84,-4.59
4,4,10,4,10,4,10,4,1.1,0.01,False,5.13,454.87,6.69,68,64.71,12.84,-4.59
4,4,10,4,10,4,10,4,1.2,0.01,False,5.13,454.87,6.69,68,64.71,12.84,-4.59
4,4,10,4,10,4,10,4,1.3,0.01,False,5.13,454.87,6.69,68,64.71,12.84,-4.59
4,4,10,4,10,4,10,10,1,0.01,False,6.84,432.52,7.72,56,69.64,12.99,-4.36
4,4,10,4,10,4,10,10,1.1,0.01,False,6.84,432.52,7.72,56,69.64,12.99,-4.36
4,4,10,4,10,4,10,10,1.2,0.01,False,6.84,432.52,7.72,56,69.64,12.99,-4.36
4,4,10,4,10,4,10,10,1.3,0.01,False,6.84,432.52,7.72,56,69.64,12.99,-4.36
4,4,10,4,10,10,4,4,1,0.01,False,3.32,271.65,5.54,49,53.06,14.95,-5.09
4,4,10,4,10,10,4,4,1.1,0.01,False,3.32,271.65,5.54,49,53.06,14.95,-5.09
4,4,10,4,10,10,4,4,1.2,0.01,False,3.32,271.65,5.54,49,53.06,14.95,-5.09
4,4,10,4,10,10,4,4,1.3,0.01,False,3.32,271.65,5.54,49,53.06,14.95,-5.09
4,4,10,4,10,10,4,10,1,0.01,False,4.47,352.15,6.18,57,61.4,12.96,-4.62
4,4,10,4,10,10,4,10,1.1,0.01,False,4.47,352.15,6.18,57,61.4,12.96,-4.62
4,4,10,4,10,10,4,10,1.2,0.01,False,4.47,352.15,6.18,57,61.4,12.96,-4.62
4,4,10,4,10,10,4,10,1.3,0.01,False,4.47,352.15,6.18,57,61.4,12.96,-4.62
4,4,10,4,10,10,10,4,1,0.01,False,3.68,315.69,5.35,59,57.63,12.75,-4.71
4,4,10,4,10,10,10,4,1.1,0.01,False,3.68,315.69,5.35,59,57.63,12.75,-4.71
4,4,10,4,10,10,10,4,1.2,0.01,False,3.68,315.69,5.35,59,57.63,12.75,-4.71
4,4,10,4,10,10,10,4,1.3,0.01,False,3.68,315.69,5.35,59,57.63,12.75,-4.71
4,4,10,4,10,10,10,10,1,0.01,False,4.86,280.75,7.2,39,58.97,15.37,-4.54
4,4,10,4,10,10,10,10,1.1,0.01,False,4.86,280.75,7.2,39,58.97,15.37,-4.54
4,4,10,4,10,10,10,10,1.2,0.01,False,4.86,280.75,7.2,39,58.97,15.37,-4.54
4,4,10,4,10,10,10,10,1.3,0.01,False,4.86,280.75,7.2,39,58.97,15.37,-4.54
4,4,10,10,4,4,4,4,1,0.01,False,3.66,289.76,5.68,51,56.86,13.75,-4.95
4,4,10,10,4,4,4,4,1.1,0.01,False,3.66,289.76,5.68,51,56.86,13.75,-4.95
4,4,10,10,4,4,4,4,1.2,0.01,False,3.66,289.76,5.68,51,56.86,13.75,-4.95
4,4,10,10,4,4,4,4,1.3,0.01,False,3.66,289.76,5.68,51,56.86,13.75,-4.95
4,4,10,10,4,4,4,10,1,0.01,False,5.43,385.64,6.77,57,64.91,12.78,-4.36
4,4,10,10,4,4,4,10,1.1,0.01,False,5.43,385.64,6.77,57,64.91,12.78,-4.36
4,4,10,10,4,4,4,10,1.2,0.01,False,5.43,385.64,6.77,57,64.91,12.78,-4.36
4,4,10,10,4,4,4,10,1.3,0.01,False,5.43,385.64,6.77,57,64.91,12.78,-4.36
4,4,10,10,4,4,10,4,1,0.01,False,4.08,349.15,5.92,59,59.32,13.22,-4.73
4,4,10,10,4,4,10,4,1.1,0.01,False,4.08,349.15,5.92,59,59.32,13.22,-4.73
4,4,10,10,4,4,10,4,1.2,0.01,False,4.08,349.15,5.92,59,59.32,13.22,-4.73
4,4,10,10,4,4,10,4,1.3,0.01,False,4.08,349.15,5.92,59,59.32,13.22,-4.73
4,4,10,10,4,4,10,10,1,0.01,False,6.42,313.71,8.48,37,64.86,15.48,-4.45
4,4,10,10,4,4,10,10,1.1,0.01,False,6.42,313.71,8.48,37,64.86,15.48,-4.45
4,4,10,10,4,4,10,10,1.2,0.01,False,6.42,313.71,8.48,37,64.86,15.48,-4.45
4,4,10,10,4,4,10,10,1.3,0.01,False,6.42,313.71,8.48,37,64.86,15.48,-4.45
4,4,10,10,4,10,4,4,1,0.01,False,3.24,258.71,5.75,45,48.89,17.01,-5.02
4,4,10,10,4,10,4,4,1.1,0.01,False,3.24,258.71,5.75,45,48.89,17.01,-5.02
4,4,10,10,4,10,4,4,1.2,0.01,False,3.24,258.71,5.75,45,48.89,17.01,-5.02
4,4,10,10,4,10,4,4,1.3,0.01,False,3.24,258.71,5.75,45,48.89,17.01,-5.02
4,4,10,10,4,10,4,10,1,0.01,False,4.93,372.38,6.65,56,62.5,13.35,-4.52
4,4,10,10,4,10,4,10,1.1,0.01,False,4.93,372.38,6.65,56,62.5,13.35,-4.52
4,4,10,10,4,10,4,10,1.2,0.01,False,4.93,372.38,6.65,56,62.5,13.35,-4.52
4,4,10,10,4,10,4,10,1.3,0.01,False,4.93,372.38,6.65,56,62.5,13.35,-4.52
4,4,10,10,4,10,10,4,1,0.01,False,3.69,308.88,5.62,55,56.36,13.67,-4.79
4,4,10,10,4,10,10,4,1.1,0.01,False,3.69,308.88,5.62,55,56.36,13.67,-4.79
4,4,10,10,4,10,10,4,1.2,0.01,False,3.69,308.88,5.62,55,56.36,13.67,-4.79
4,4,10,10,4,10,10,4,1.3,0.01,False,3.69,308.88,5.62,55,56.36,13.67,-4.79
4,4,10,10,4,10,10,10,1,0.01,False,4.98,255.96,8.53,30,53.33,20.02,-4.59
4,4,10,10,4,10,10,10,1.1,0.01,False,4.98,255.96,8.53,30,53.33,20.02,-4.59
