high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%,Scale
4,4,4,14,14,14,14,14,1.3,0.01,False,8.5,475.24,20.66,23,60.87,38.47,-7.04,1.5
4,4,4,14,14,14,14,14,1.5,0.01,False,8.51,454.96,19.78,23,60.87,36.83,-6.73,1.427
4,4,4,14,14,14,14,14,2,0.01,False,8.5,415.38,18.06,23,60.87,33.62,-6.15,1.305
4,4,14,4,4,4,4,4,1.1,0.01,False,4.99,641.74,9.72,66,63.64,19.11,-6.71,1.593
4,4,14,4,4,4,4,4,1.3,0.01,False,4.99,602.19,9.12,66,63.64,17.93,-6.29,1.5
4,4,14,4,4,4,4,4,1.5,0.01,False,4.99,572.09,8.67,66,63.64,17.04,-5.98,1.427
4,4,14,4,4,4,4,4,2,0.01,False,4.99,523.42,7.93,66,63.64,15.59,-5.47,1.305
4,4,14,4,4,4,4,14,1.1,0.01,False,4.5,825.22,9.6,86,62.79,19.65,-7.37,1.593
4,4,14,4,4,4,4,14,1.3,0.01,False,4.5,776.77,9.03,86,62.79,18.5,-6.94,1.5
4,4,14,4,4,4,4,14,1.5,0.01,False,4.5,739.16,8.59,86,62.79,17.6,-6.6,1.427
4,4,14,4,4,4,4,14,2,0.01,False,4.5,675.97,7.86,86,62.79,16.1,-6.04,1.305
4,4,14,4,4,4,14,4,1.1,0.01,False,6.3,798.47,11.92,67,70.15,20.19,-7.53,1.593
4,4,14,4,4,4,14,4,1.3,0.01,False,6.3,751.58,11.22,67,70.15,19.01,-7.08,1.5
4,4,14,4,4,4,14,4,1.5,0.01,False,6.3,715.2,10.67,67,70.15,18.09,-6.74,1.427
4,4,14,4,4,4,14,4,2,0.01,False,6.3,654.05,9.76,67,70.15,16.54,-6.17,1.305
4,4,14,4,4,4,14,14,1.1,0.01,False,5.57,701.2,12.09,58,65.52,22.49,-7.68,1.593
4,4,14,4,4,4,14,14,1.3,0.01,False,5.56,661.86,11.41,58,65.52,21.24,-7.26,1.5
4,4,14,4,4,4,14,14,1.5,0.01,False,5.56,630.74,10.87,58,65.52,20.24,-6.92,1.427
4,4,14,4,4,4,14,14,2,0.01,False,5.56,576.59,9.94,58,65.52,18.5,-6.32,1.305
4,4,14,4,4,14,4,4,1.1,0.01,False,4.56,613.63,10.58,58,58.62,23.12,-7.18,1.593
4,4,14,4,4,14,4,4,1.3,0.01,False,4.56,577.6,9.96,58,58.62,21.76,-6.76,1.5
4,4,14,4,4,14,4,4,1.5,0.01,False,4.56,549.63,9.48,58,58.62,20.71,-6.43,1.427
4,4,14,4,4,14,4,4,2,0.01,False,4.56,502.65,8.67,58,58.62,18.94,-5.88,1.305
4,4,14,4,4,14,4,14,1.1,0.01,False,2.98,576.56,7.69,75,57.33,20.17,-9.09,1.593
4,4,14,4,4,14,4,14,1.3,0.01,False,2.98,544.06,7.25,75,57.33,19.05,-8.6,1.5
4,4,14,4,4,14,4,14,1.5,0.01,False,2.98,518.4,6.91,75,57.33,18.16,-8.2,1.427
4,4,14,4,4,14,4,14,2,0.01,False,2.98,473.91,6.32,75,57.33,16.6,-7.5,1.305
4,4,14,4,4,14,14,4,1.1,0.01,False,4.11,645.8,10.09,64,62.5,21.34,-8.65,1.593
4,4,14,4,4,14,14,4,1.3,0.01,False,4.1,609.25,9.52,64,62.5,20.14,-8.19,1.5
4,4,14,4,4,14,14,4,1.5,0.01,False,4.1,580.44,9.07,64,62.5,19.2,-7.81,1.427
4,4,14,4,4,14,14,4,2,0.01,False,4.1,530.65,8.29,64,62.5,17.55,-7.14,1.305
4,4,14,4,4,14,14,14,1.1,0.01,False,4.45,571.48,11.91,48,58.33,26.32,-8.27,1.593
4,4,14,4,4,14,14,14,1.3,0.01,False,4.45,540.91,11.27,48,58.33,24.92,-7.85,1.5
4,4,14,4,4,14,14,14,1.5,0.01,False,4.44,516.23,10.75,48,58.33,23.79,-7.5,1.427
4,4,14,4,4,14,14,14,2,0.01,False,4.44,471.72,9.83,48,58.33,21.74,-6.85,1.305
4,4,14,4,14,4,4,4,1.1,0.01,False,4.9,733.76,11.83,62,61.29,24.26,-7.84,1.593
4,4,14,4,14,4,4,4,1.3,0.01,False,4.9,690.67,11.14,62,61.29,22.84,-7.38,1.5
4,4,14,4,14,4,4,4,1.5,0.01,False,4.9,657.24,10.6,62,61.29,21.73,-7.02,1.427
4,4,14,4,14,4,4,4,2,0.01,False,4.9,601.05,9.69,62,61.29,19.87,-6.42,1.305
4,4,14,4,14,4,4,14,1.1,0.01,False,3.93,844.34,9.82,86,61.63,21.37,-8.73,1.593
4,4,14,4,14,4,4,14,1.3,0.01,False,3.92,796.85,9.27,86,61.63,20.18,-8.26,1.5
4,4,14,4,14,4,4,14,1.5,0.01,False,3.92,759.33,8.83,86,61.63,19.23,-7.88,1.427
4,4,14,4,14,4,4,14,2,0.01,False,3.92,694.15,8.07,86,61.63,17.58,-7.2,1.305
4,4,14,4,14,4,14,4,1.1,0.01,False,5.3,868.22,13.15,66,65.15,24.88,-8.77,1.593
4,4,14,4,14,4,14,4,1.3,0.01,False,5.29,819.12,12.41,66,65.15,23.49,-8.29,1.5
4,4,14,4,14,4,14,4,1.5,0.01,False,5.29,780.42,11.82,66,65.15,22.38,-7.91,1.427
4,4,14,4,14,4,14,4,2,0.01,False,5.29,713.46,10.81,66,65.15,20.46,-7.23,1.305
4,4,14,4,14,4,14,14,1.1,0.01,False,6.9,886.25,15.02,59,67.8,25.91,-7.91,1.593
4,4,14,4,14,4,14,14,1.3,0.01,False,6.89,838.68,14.21,59,67.8,24.53,-7.5,1.5
4,4,14,4,14,4,14,14,1.5,0.01,False,6.88,800.33,13.56,59,67.8,23.41,-7.16,1.427
4,4,14,4,14,4,14,14,2,0.01,False,6.88,731.35,12.4,59,67.8,21.39,-6.54,1.305
4,4,14,4,14,14,4,4,1.1,0.01,False,5.97,650.22,13.0,50,64.0,24.41,-7.27,1.593
4,4,14,4,14,14,4,4,1.3,0.01,False,5.98,614.1,12.28,50,64.0,23.05,-6.85,1.5
4,4,14,4,14,14,4,4,1.5,0.01,False,5.98,585.41,11.71,50,64.0,21.97,-6.53,1.427
4,4,14,4,14,14,4,4,2,0.01,False,5.98,535.1,10.7,50,64.0,20.08,-5.97,1.305
4,4,14,4,14,14,4,14,1.1,0.01,False,3.48,650.68,9.3,70,60.0,21.74,-9.37,1.593
4,4,14,4,14,14,4,14,1.3,0.01,False,3.47,615.8,8.8,70,60.0,20.59,-8.89,1.5
4,4,14,4,14,14,4,14,1.5,0.01,False,3.47,587.67,8.4,70,60.0,19.65,-8.49,1.427
4,4,14,4,14,14,4,14,2,0.01,False,3.47,537.01,7.67,70,60.0,17.96,-7.76,1.305
4,4,14,4,14,14,14,4,1.1,0.01,False,5.37,734.53,12.89,57,68.42,23.14,-9.34,1.593
4,4,14,4,14,14,14,4,1.3,0.01,False,5.36,695.18,12.2,57,68.42,21.91,-8.86,1.5
4,4,14,4,14,14,14,4,1.5,0.01,False,5.35,663.43,11.64,57,68.42,20.92,-8.47,1.427
4,4,14,4,14,14,14,4,2,0.01,False,5.35,606.23,10.64,57,68.42,19.11,-7.73,1.305
4,4,14,4,14,14,14,14,1.1,0.01,False,7.11,672.25,16.4,41,65.85,28.97,-7.86,1.593
4,4,14,4,14,14,14,14,1.3,0.01,False,7.14,638.85,15.58,41,65.85,27.52,-7.43,1.5
4,4,14,4,14,14,14,14,1.5,0.01,False,7.15,610.98,14.9,41,65.85,26.31,-7.09,1.427
4,4,14,4,14,14,14,14,2,0.01,False,7.15,557.98,13.61,41,65.85,24.03,-6.48,1.305
4,4,14,14,4,4,4,4,1.1,0.01,False,3.68,476.51,9.34,51,56.86,22.55,-8.07,1.846
4,4,14,14,4,4,4,4,1.3,0.01,False,3.69,449.41,8.81,51,56.86,21.27,-7.61,1.752
4,4,14,14,4,4,4,4,1.5,0.01,False,3.69,428.1,8.39,51,56.86,20.26,-7.24,1.675
4,4,14,14,4,4,4,4,2,0.01,False,3.69,391.39,7.67,51,56.86,18.52,-6.62,1.53
4,4,14,14,4,4,4,14,1.1,0.01,False,4.97,747.81,11.16,67,62.69,22.28,-7.53,1.846
4,4,14,14,4,4,4,14,1.3,0.01,False,4.98,708.0,10.57,67,62.69,21.09,-7.11,1.752
4,4,14,14,4,4,4,14,1.5,0.01,False,4.99,675.8,10.09,67,62.69,20.12,-6.77,1.675
4,4,14,14,4,4,4,14,2,0.01,False,4.99,617.5,9.22,67,62.69,18.39,-6.19,1.53
4,4,14,14,4,4,14,4,1.1,0.01,False,6.51,681.93,13.92,49,67.35,24.41,-7.73,1.846
4,4,14,14,4,4,14,4,1.3,0.01,False,6.53,645.78,13.18,49,67.35,23.11,-7.3,1.752
4,4,14,14,4,4,14,4,1.5,0.01,False,6.53,616.47,12.58,49,67.35,22.06,-6.96,1.675
4,4,14,14,4,4,14,4,2,0.01,False,6.53,563.28,11.5,49,67.35,20.15,-6.36,1.53
4,4,14,14,4,4,14,14,1.1,0.01,False,6.31,577.1,15.6,37,64.86,28.58,-8.36,1.846
4,4,14,14,4,4,14,14,1.3,0.01,False,6.31,547.91,14.81,37,64.86,27.13,-7.94,1.752
4,4,14,14,4,4,14,14,1.5,0.01,False,6.31,523.75,14.16,37,64.86,25.93,-7.59,1.675
4,4,14,14,4,4,14,14,2,0.01,False,6.31,478.38,12.93,37,64.86,23.69,-6.93,1.53
4,4,14,14,4,14,4,4,1.1,0.01,False,3.69,547.65,11.41,48,52.08,30.06,-8.87,1.846
4,4,14,14,4,14,4,4,1.3,0.01,False,3.69,518.74,10.81,48,52.08,28.47,-8.39,1.752
4,4,14,14,4,14,4,4,1.5,0.01,False,3.69,495.27,10.32,48,52.08,27.18,-8.01,1.675
4,4,14,14,4,14,4,4,2,0.01,False,3.69,452.52,9.43,48,52.08,24.83,-7.32,1.53
4,4,14,14,4,14,4,14,1.1,0.01,False,3.44,631.55,10.19,62,58.06,24.72,-9.94,1.846
4,4,14,14,4,14,4,14,1.3,0.01,False,3.44,599.6,9.67,62,58.06,23.47,-9.44,1.752
4,4,14,14,4,14,4,14,1.5,0.01,False,3.44,573.17,9.24,62,58.06,22.44,-9.02,1.675
4,4,14,14,4,14,4,14,2,0.01,False,3.44,523.52,8.44,62,58.06,20.49,-8.24,1.53
4,4,14,14,4,14,14,4,1.1,0.01,False,4.46,670.46,12.89,52,59.62,27.87,-9.22,1.846
4,4,14,14,4,14,14,4,1.3,0.01,False,4.46,636.55,12.24,52,59.62,26.46,-8.75,1.752
4,4,14,14,4,14,14,4,1.5,0.01,False,4.46,608.48,11.7,52,59.62,25.3,-8.37,1.675
4,4,14,14,4,14,14,4,2,0.01,False,4.46,555.77,10.69,52,59.62,23.1,-7.64,1.53
4,4,14,14,4,14,14,14,1.1,0.01,False,5.42,589.23,17.86,33,57.58,38.03,-9.53,1.846
4,4,14,14,4,14,14,14,1.3,0.01,False,5.41,560.71,16.99,33,57.58,36.2,-9.08,1.752
4,4,14,14,4,14,14,14,1.5,0.01,False,5.41,536.63,16.26,33,57.58,34.65,-8.7,1.675
4,4,14,14,4,14,14,14,2,0.01,False,5.41,489.99,14.85,33,57.58,31.64,-7.94,1.53
4,4,14,14,14,4,4,4,1.1,0.01,False,4.25,666.07,13.59,49,55.1,32.26,-9.32,1.846
4,4,14,14,14,4,4,4,1.3,0.01,False,4.25,630.62,12.87,49,55.1,30.55,-8.82,1.752
4,4,14,14,14,4,4,4,1.5,0.01,False,4.25,601.94,12.28,49,55.1,29.16,-8.42,1.675
